name,position,team
Broncos Defense,DEF,DEN
Wil Lutz,K,DEN
Jarrett Stidham,QB,DEN
RJ Harvey,RB,DEN
Jaleel McLaughlin,RB,DEN
Evan Engram,TE,DEN
Courtland Sutton,WR,DEN
Troy Franklin,WR,DEN
Marvin Mims,WR,DEN
Pat Bryant,WR,DEN
Lil'Jordan Humphrey,WR,DEN
Rams Defense,DEF,LAR
Harrison Mevis,K,LAR
Matthew Stafford,QB,LAR
Kyren Williams,RB,LAR
Blake Corum,RB,LAR
Colby Parkinson,TE,LAR
Terrance Ferguson,TE,LAR
Tyler Higbee,TE,LAR
Davante Adams,WR,LAR
Puka Nacua,WR,LAR
Jordan Whittington,WR,LAR
Konata Mumpfield,WR,LAR
Patriots Defense,DEF,NE
Andy Borregales,K,NE
Drake Maye,QB,NE
Rhamondre Stevenson,RB,NE
TreVeyon Henderson,RB,NE
Hunter Henry,TE,NE
Austin Hooper,TE,NE
DeMario Douglas,WR,NE
Stefon Diggs,WR,NE
Kyle Williams,WR,NE
Kayshon Boutte,WR,NE
Seahawks Defense,DEF,SEA
Jason Myers,K,SEA
Sam Darnold,QB,SEA
Kenneth Walker III,RB,SEA
Zach Charbonnet,RB,SEA
AJ Barner,TE,SEA
Rashid Shaheed,WR,SEA
Jaxon Smith-Njigba,WR,SEA
Cooper Kupp,WR,SEA
Jake Bobo,WR,SEA
