name,position,team
Patriots Defense,DEF,NE
Andy Borregales,K,NE
Drake Maye,QB,NE
Rhamondre Stevenson,RB,NE
TreVeyon Henderson,RB,NE
Hunter Henry,TE,NE
Austin Hooper,TE,NE
DeMario Douglas,WR,NE
Stefon Diggs,WR,NE
Kyle Williams,WR,NE
Kayshon Boutte,WR,NE
Mack Hollins,WR,NE
Seahawks Defense,DEF,SEA
Jason Myers,K,SEA
Sam Darnold,QB,SEA
Kenneth Walker III,RB,SEA
George Holani,RB,SEA
AJ Barner,TE,SEA
Rashid Shaheed,WR,SEA
Jaxon Smith-Njigba,WR,SEA
Cooper Kupp,WR,SEA
Jake Bobo,WR,SEA
